columna,n,n_nulos,pct_nulos,n_unicos,media,mediana,moda,desv_est,min,max,rango,Q1,Q3,IQR,asimetria_skew,curtosis,CV_pct,n_outliers_iqr,pct_outliers,sin_valores_numericos,n_categorias,dominante,pct_dominante,top_5
route_id,181529,14,0.01,1023.0,11756.5195,11901.0,12873.0,920.7959,10004.0,13025.0,3021.0,10917.0,12646.0,1729.0,-0.2293,-1.4011,7.8322,0.0,0.0,False,,,,
service_id,181543,0,0.0,3.0,1.9948,2.0,1.0,1.1521,1.0,4.0,3.0,1.0,2.0,1.0,0.8747,-0.7301,57.7561,40006.0,22.04,False,,,,
shape_id,181529,14,0.01,1023.0,11756.5195,11901.0,12873.0,920.7959,10004.0,13025.0,3021.0,10917.0,12646.0,1729.0,-0.2293,-1.4011,7.8322,0.0,0.0,False,,,,
trip_headsign,0,181543,,,,,,,,,,,,,,,,,,,1.0,(nulo),100.0,(nulo)=181543
trip_id,181543,0,,,,,,,,,,,,,,,,,,,181543.0,TO4D70001.1.10004,0.0,TO4D70001.1.10004=1 | TO4D70001.10.10004=1 | TO4D70001.11.10004=1 | TO4D70001.12.10004=1 | TO4D70001.13.10004=1
