columna,n,n_nulos,pct_nulos,n_unicos,media,mediana,moda,desv_est,min,max,rango,Q1,Q3,IQR,asimetria_skew,curtosis,CV_pct,n_outliers_iqr,pct_outliers,sin_valores_numericos,n_categorias,dominante,pct_dominante,top_5
agency_id,1000,0,0.0,6.0,2.65,3.0,3.0,0.7239,1.0,6.0,5.0,2.0,3.0,1.0,-0.8341,2.0393,27.3168,7.0,0.7,False,,,,
route_color,1000,0,,,,,,,,,,,,,,,,,,,3.0,0000ff,73.0,0000ff=730 | 00ff00=161 | ff0000=109
route_id,1000,0,0.0,1000.0,11804.205,12087.5,10004.0,912.4085,10004.0,13025.0,3021.0,10916.75,12646.5,1729.75,-0.3348,-1.3848,7.7295,0.0,0.0,False,,,,
route_long_name,1000,0,,,,,,,,,,,,,,,,,,,734.0,Portal Américas,1.5,Portal Américas=15 | Portal Sur=14 | Portal Usme=12 | Portal Eldorado=10 | Metrovivienda=10
route_short_name,1000,0,,,,,,,,,,,,,,,,,,,641.0,7,0.8,7=8 | 9-3=6 | T163=6 | C201=6 | 6-5=5
route_text_color,1000,0,,,,,,,,,,,,,,,,,,,1.0,ffffff,100.0,ffffff=1000
route_type,1000,0,0.0,1.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,
