columna,n,n_nulos,pct_nulos,n_unicos,media,mediana,moda,desv_est,min,max,rango,Q1,Q3,IQR,asimetria_skew,curtosis,CV_pct,n_outliers_iqr,pct_outliers,sin_valores_numericos
shape_id,1000,0,0.0,3,10004.519,10004.0,10004.0,0.6724,10004.0,10006.0,2.0,10004.0,10005.0,1.0,0.9305,-0.3233,0.0067,0,0.0,False
shape_pt_lat,1000,0,0.0,652,4.529,4.5113,4.4995,0.0457,4.4967,4.6728,0.1761,4.5085,4.5263,0.0178,2.4745,4.5202,1.0096,101,10.1,False
shape_pt_lon,1000,0,0.0,652,-74.1101,-74.1127,-74.1184,0.0071,-74.1198,-74.0999,0.0199,-74.1172,-74.1022,0.015,0.2039,-1.6632,-0.0096,0,0.0,False
shape_pt_sequence,1000,0,0.0,582,225.207,200.0,1.0,161.8861,1.0,582.0,581.0,84.0,332.25,248.25,0.5293,-0.8041,71.8833,0,0.0,False
