codigo_upz,nombre_upz,codigo_localidad,atenciones_totales,beneficiarios_totales,atenciones_img,atenciones_comedores,atenciones_comisarias,atenciones_discapacidad,atenciones_victimas,atenciones_migrantes
038,RESTREPO,15,4727,1,3052,0,0,246,323,265
040,CIUDAD MONTES,15,2146,1,0,169,0,258,109,57
040,CIUDAD MONTES,16,6567,1,2264,191,0,833,514,240
041,MUZU,16,2069,1,1841,162,0,174,91,110
043,SAN RAFAEL,16,4358,1,2830,103,0,330,230,174
108,ZONA INDUSTRIAL,16,3360,1,432,83,0,264,461,136
111,PUENTE ARANDA,16,560,1,266,234,0,28,68,37
094,PARQUE SIMON BOLIVAR - CAN,17,5133,1,1315,387,0,320,504,688
036,SAN JOSE,18,13052,1,2893,1093,0,1673,1235,226
039,QUIROGA,18,11470,1,8639,152,0,694,665,618
053,MARCO FIDEL SUAREZ,18,11380,1,10692,195,0,584,922,724
054,MARRUECOS,18,14193,1,13272,546,0,748,971,605
055,DIANA TURBAY,18,15839,1,12761,756,0,708,1198,641
060,PARQUE ENTRENUBES,18,12,1,12,0,0,2,0,0
063,EL MOCHUELO,19,5,1,5,0,0,0,0,0
064,MONTE BLANCO,19,1584,1,1317,0,0,74,123,61
065,ARBORIZADORA,19,5314,1,5289,0,0,328,356,118
066,SAN FRANCISCO,19,11889,1,10506,212,0,681,943,404
067,LUCERO,19,40832,1,34484,1552,0,1937,4676,1521
068,EL TESORO,19,13851,1,12403,955,0,634,1633,478
069,ISMAEL PERDOMO,19,27741,1,23510,522,0,1468,3122,1104
070,JERUSALEM,19,37176,1,18851,2753,0,3348,4455,1010
120,RIO TUNJUELO,19,254,1,0,0,0,4,14,10
1201,RIO TUNJUELO (CIUDAD BOLIVAR),19,207,1,0,0,0,2,9,5
998,NO APLICA,19,19,1,0,0,0,0,0,0
018,BRITALIA,20,186,1,0,0,0,22,11,0
099,CHAPINERO,20,190,1,0,0,0,17,15,0
121,RIO BLANCO,20,45,1,0,0,0,0,1,1
122,RIO SUMAPAZ,20,78,1,0,0,0,0,3,1
