codigo_upz,nombre_upz,codigo_localidad,ano,poblacion_total,poblacion_hombres,poblacion_mujeres,poblacion_0_14,poblacion_15_59,poblacion_60_mas
026,LAS FERIAS,10,2018,99530.0,47242.0,52288.0,22700.0,61546.0,15284.0
029,MINUTO DE DIOS,10,2018,109581.0,51503.0,58078.0,25800.0,65619.0,18162.0
030,BOYACA REAL,10,2018,125315.0,59415.0,65900.0,29713.0,77954.0,17648.0
031,SANTA CECILIA,10,2018,65800.0,30709.0,35091.0,14349.0,39803.0,11648.0
072,BOLIVIA,10,2018,81481.0,37070.0,44411.0,16833.0,51736.0,12912.0
073,GARCES NAVAS,10,2018,160612.0,75640.0,84972.0,39177.0,100141.0,21294.0
074,ENGATIVA,10,2018,135897.0,65701.0,70196.0,37785.0,86540.0,11572.0
105,JARDIN BOTANICO,10,2018,2482.0,1423.0,1059.0,569.0,1738.0,175.0
116,ALAMOS,10,2018,11820.0,5550.0,6270.0,2805.0,7735.0,1280.0
002,LA ACADEMIA,11,2018,4107.0,1997.0,2110.0,1513.0,2323.0,271.0
003,GUAYMARAL,11,2018,2065.0,996.0,1069.0,558.0,1294.0,213.0
017,SAN JOSE DE BAVARIA,11,2018,47571.0,22054.0,25517.0,10004.0,29616.0,7951.0
018,BRITALIA,11,2018,83298.0,38534.0,44764.0,20454.0,51865.0,10979.0
019,EL PRADO,11,2018,97415.0,44561.0,52854.0,21080.0,59449.0,16886.0
020,LA ALHAMBRA,11,2018,39779.0,17903.0,21876.0,7034.0,23551.0,9194.0
023,CASA BLANCA SUBA,11,2018,53279.0,24629.0,28650.0,13888.0,31950.0,7441.0
024,NIZA,11,2018,77116.0,35192.0,41924.0,16479.0,44732.0,15905.0
025,LA FLORESTA,11,2018,40834.0,18502.0,22332.0,9734.0,23787.0,7313.0
027,SUBA,11,2018,164233.0,76858.0,87375.0,42667.0,103741.0,17825.0
028,EL RINCON,11,2018,270005.0,129331.0,140674.0,73340.0,167388.0,29277.0
071,TIBABUYES,11,2018,269338.0,130169.0,139169.0,78026.0,170029.0,21283.0
021,LOS ANDES,12,2018,27253.0,11949.0,15304.0,4975.0,17084.0,5194.0
022,DOCE DE OCTUBRE,12,2018,64814.0,30527.0,34287.0,14974.0,39452.0,10388.0
098,LOS ALCAZARES,12,2018,39720.0,18906.0,20814.0,8232.0,24582.0,6906.0
103,PARQUE SALITRE,12,2018,1339.0,688.0,651.0,336.0,777.0,226.0
100,GALERIAS,13,2018,33749.0,16059.0,17690.0,6187.0,21751.0,5811.0
101,TEUSAQUILLO,13,2018,25536.0,12292.0,13244.0,4466.0,16535.0,4535.0
104,PARQUE SIMON BOLIVAR - CAN,13,2018,2937.0,1546.0,1391.0,428.0,1900.0,609.0
