sector,ruta,archivo,formato,tamano_mb,error_lectura,encoding,separador,crs,geometria,filas_totales,filas_muestra,columnas,n_unnamed,n_cols_vacias,filas_titulo_omitidas,pct_nulos_total,duplicados,columnas_territoriales,variables_numericas,variables_categoricas,variables_temporales,variables_espaciales,encoding_legacy,muestra_por_performance,bbox_fuera_bogota,problemas_detectados,capa_hoja
raw,raw\FINANZAS_INVERSION_PUBLICA\presupuestos_participativos_propuestas_priorizadas.csv,FINANZAS_INVERSION_PUBLICA\presupuestos_participativos_propuestas_priorizadas.csv,csv,0.003,,utf-8,",",,,,20.0,10.0,0,0,0,0.0,0.0,"codigo_localidad, nombre_localidad",4,4,0,0,False,False,False,sin_alertas,
raw,raw\FINANZAS_INVERSION_PUBLICA\Punto de encuentro vendedores. Bogotá D.C..geojson,FINANZAS_INVERSION_PUBLICA\Punto de encuentro vendedores. Bogotá D.C..geojson,geojson,0.002,,,,EPSG:4686,Point,4.0,4.0,8.0,0,0,0,0.0,0.0,CPUNBARRIO,0,8,0,0,False,False,False,sin_alertas,
raw,raw\FINANZAS_INVERSION_PUBLICA\Punto de encuentro vendedores. Bogotá D.C..xlsx,FINANZAS_INVERSION_PUBLICA\Punto de encuentro vendedores. Bogotá D.C..xlsx,xlsx,0.009,,,,,,,4.0,12.0,0,0,0,0.0,0.0,properties/CPUNBARRIO,3,9,0,0,False,False,False,sin_alertas,Hoja1
raw,raw\FINANZAS_INVERSION_PUBLICA\puntos_encuentro_vendedores.csv,FINANZAS_INVERSION_PUBLICA\puntos_encuentro_vendedores.csv,csv,0.001,,utf-8,",",,,,4.0,12.0,0,0,0,0.0,0.0,properties/CPUNBARRIO,3,9,0,0,False,False,False,sin_alertas,
raw,raw\FINANZAS_INVERSION_PUBLICA\rivi-numero-vendedores-informales-localidad-2017-06-30.txt,FINANZAS_INVERSION_PUBLICA\rivi-numero-vendedores-informales-localidad-2017-06-30.txt,txt,0.001,,,,,,,,,0,0,0,,,,0,0,0,0,False,False,False,formato_no_perfilado,
raw,raw\FINANZAS_INVERSION_PUBLICA\rivi-numero-vendedores-informales-localidad-2017-12-31.txt,FINANZAS_INVERSION_PUBLICA\rivi-numero-vendedores-informales-localidad-2017-12-31.txt,txt,0.001,,,,,,,,,0,0,0,,,,0,0,0,0,False,False,False,formato_no_perfilado,
raw,raw\FINANZAS_INVERSION_PUBLICA\rivi-numero-vendedores-informales-localidad-2018-06-30.txt,FINANZAS_INVERSION_PUBLICA\rivi-numero-vendedores-informales-localidad-2018-06-30.txt,txt,0.001,,,,,,,,,0,0,0,,,,0,0,0,0,False,False,False,formato_no_perfilado,
raw,raw\FINANZAS_INVERSION_PUBLICA\rivi-numero-vendedores-informales-localidad-2018-12-31.txt,FINANZAS_INVERSION_PUBLICA\rivi-numero-vendedores-informales-localidad-2018-12-31.txt,txt,0.001,,,,,,,,,0,0,0,,,,0,0,0,0,False,False,False,formato_no_perfilado,
raw,raw\FINANZAS_INVERSION_PUBLICA\rivi-numero-vendedores-informales-localidad-2019-06-30.txt,FINANZAS_INVERSION_PUBLICA\rivi-numero-vendedores-informales-localidad-2019-06-30.txt,txt,0.001,,,,,,,,,0,0,0,,,,0,0,0,0,False,False,False,formato_no_perfilado,
raw,raw\FINANZAS_INVERSION_PUBLICA\rivi-numero-vendedores-informales-localidad-2019-12-30.txt,FINANZAS_INVERSION_PUBLICA\rivi-numero-vendedores-informales-localidad-2019-12-30.txt,txt,0.001,,,,,,,,,0,0,0,,,,0,0,0,0,False,False,False,formato_no_perfilado,
