archivo,sector,formato,tam_mb
MOVILIDAD\Validaciones\2024-Troncal-07 TM Resumen de Validaciones Troncales al 31 Jul 2024 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,13.51
MOVILIDAD\Validaciones\2024-Troncal-08 TM Resumen de Validaciones Troncales al 31 Ago 2024 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,14.08
MOVILIDAD\Validaciones\2024-Troncal-09 TM Resumen de Validaciones Troncales al 30 Sep 2024 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,13.61
MOVILIDAD\Validaciones\2024-Troncal-10 TM Resumen de Validaciones Troncales al 31 Oct 2024 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,13.69
MOVILIDAD\Validaciones\2024-Troncal-11 TM Resumen de Validaciones Troncales al 30 Nov 2024 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,13.74
MOVILIDAD\Validaciones\2024-Troncal-12 TM Resumen de Validaciones Troncales al 31 de Dic 2024 Intervalo 15 Mint.xlsx,MOVILIDAD,XLSX,13.9
MOVILIDAD\Validaciones\2024-Zonal-01 TM Reporte de Validaciones Zonales Intervalo al 31 Ene 2024.xlsx,MOVILIDAD,XLSX,11.43
MOVILIDAD\Validaciones\2024-Zonal-02 TM Reporte de Validaciones Zonales Intervalo al 29 Feb 2024.xlsx,MOVILIDAD,XLSX,11.58
MOVILIDAD\Validaciones\2024-Zonal-03 TM Reporte de Validaciones Zonales Intervalo al 31 Mar 2024.xlsx,MOVILIDAD,XLSX,11.48
MOVILIDAD\Validaciones\2024-Zonal-04 TM Reporte de Validaciones Zonales Intervalo al 30 Abril 2024.xlsx,MOVILIDAD,XLSX,11.45
MOVILIDAD\Validaciones\2024-Zonal-05 TM Reporte de Validaciones Zonales Intervalo al 31 Mayo 2024.xlsx,MOVILIDAD,XLSX,11.48
MOVILIDAD\Validaciones\2024-Zonal-06 TM Reporte de Validaciones Zonales Intervalo al 30 Junio 2024.xlsx,MOVILIDAD,XLSX,11.43
MOVILIDAD\Validaciones\2024-Zonal-07 TM Reporte de Validaciones Zonales Intervalo al 31 Julio 2024.xlsx,MOVILIDAD,XLSX,11.47
MOVILIDAD\Validaciones\2024-Zonal-08 TM Reporte de Validaciones Zonales Intervalo al 31 Agosto 2024.xlsx,MOVILIDAD,XLSX,11.76
MOVILIDAD\Validaciones\2024-Zonal-09 TM Reporte de Validaciones Zonales Intervalo al 30 Septiembre 2024.xlsx,MOVILIDAD,XLSX,11.52
MOVILIDAD\Validaciones\2024-Zonal-10 TM Reporte de Validaciones Zonales Intervalo al 31 Octubre 2024.xlsx,MOVILIDAD,XLSX,11.55
MOVILIDAD\Validaciones\2024-Zonal-11 TM Reporte de Validaciones Zonales Intervalo al 30 Noviembre 2024.xlsx,MOVILIDAD,XLSX,11.56
MOVILIDAD\Validaciones\2024-Zonal-12 TM Reporte de Validaciones Zonales Intervalo al 31 de Diciembre 2024.xlsx,MOVILIDAD,XLSX,11.56
